Number,Rank,birthday,Sex,Age,Tall,Weight,BloodType,Win_rate,Wins_rate,1st_num,2nd_num,Runs_num,Yusyutu_num,Champ_num,ST_mean,Course1_entry_num,Course1_Wins_rate,Course1_ST_mean,Course1_Start_Rank,Course2_entry_num,Course2_Wins_rate,Course2_ST_mean,Course2_Start_Rank,Course3_entry_num,Course3_Wins_rate,Course3_ST_mean,Course3_Start_Rank,Course4_entry_num,Course4_Wins_rate,Course4_ST_mean,Course4_Start_Rank,Course5_entry_num,Course5_Wins_rate,Course5_ST_mean,Course5_Start_Rank,Course6_entry_num,Course6_Wins_rate,Course6_ST_mean,Course6_Start_Rank,bef_Rank,bef_bef_Rank,bef_bef_bef_Rank,bef_Capavility_index,Now_Capability_index,Year,Period,CalcurationPeriod1,CalcurationPeriod2,GraduatePeriod,Course1_1st_num,Course1_2nd_num,Course1_3rd_num,Course1_4th_num,Course1_5th_num,Course1_6th_num,Course1_F_num,Course1_L0_num,Course1_L1_num,Course1_K0_num,Course1_K1_num,Course1_S0_num,Course1_S1_num,Course1_S2_num,Course2_1st_num,Course2_2nd_num,Course2_3rd_num,Course2_4th_num,Course2_5th_num,Course2_6th_num,Course2_F_num,Course2_L0_num,Course2_L1_num,Course2_K0_num,Course2_K1_num,Course2_S0_num,Course2_S1_num,Course2_S2_num,Course3_1st_num,Course3_2nd_num,Course3_3rd_num,Course3_4th_num,Course3_5th_num,Course3_6th_num,Course3_F_num,Course3_L0_num,Course3_L1_num,Course3_K0_num,Course3_K1_num,Course3_S0_num,Course3_S1_num,Course3_S2_num,Course4_1st_num,Course4_2nd_num,Course4_3rd_num,Course4_4th_num,Course4_5th_num,Course4_6th_num,Course4_F_num,Course4_L0_num,Course4_L1_num,Course4_K0_num,Course4_K1_num,Course4_S0_num,Course4_S1_num,Course4_S2_num,Course5_1st_num,Course5_2nd_num,Course5_3rd_num,Course5_4th_num,Course5_5th_num,Course5_6th_num,Course5_F_num,Course5_L0_num,Course5_L1_num,Course5_K0_num,Course5_K1_num,Course5_S0_num,Course5_S1_num,Course5_S2_num,Course6_1st_num,Course6_2nd_num,Course6_3rd_num,Course6_4th_num,Course6_5th_num,Course6_6th_num,Course6_F_num,Course6_L0_num,Course6_L1_num,Course6_K0_num,Course6_K1_num,Course6_S0_num,Course6_S1_num,Course6_S2_num
2014,B1,S220307,1,73,165,55,O ,4.55,2.53,3,16,75,0,0,0.18,13,5.38,0.17,2.8,13,3.08,0.2,3.9,13,2.31,0.18,4.4,14,2.14,0.17,3.1,11,0.91,0.14,2.7,11,0.91,0.22,4.1,B1,B1,B1,48,47,2020,2,20191101,20200430,20,1,6,2,1,1,1,1,0,0,0,0,0,0,0,0,4,3,2,1,3,0,0,0,0,0,0,0,0,0,3,3,3,2,2,0,0,0,0,0,0,0,0,1,2,0,6,4,1,0,0,0,0,0,0,0,0,0,1,3,5,0,2,0,0,0,0,0,0,0,0,1,0,2,0,4,4,0,0,0,0,0,0,0,0
2538,B1,S240426,1,71,164,52,AB,4.14,1.72,5,9,81,0,0,0.23,12,4.17,0.21,3.5,27,2.59,0.2,3.6,20,0,0.26,4.3,13,0.77,0.19,4,5,2,0.33,5.2,6,0,0.29,5.5,B1,B1,B1,47,45,2020,2,20191101,20200430,32,3,2,2,2,0,2,0,0,0,0,0,0,0,1,2,5,7,5,0,6,1,0,0,0,0,1,0,0,0,0,4,8,5,3,0,0,0,0,0,0,0,0,0,1,3,1,2,5,0,0,0,0,0,1,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0
2787,B1,S300214,1,65,171,53,A ,4.99,2.68,13,13,97,0,0,0.17,16,7.5,0.16,2.5,20,3.5,0.14,2.7,21,1.43,0.16,2.5,17,0.59,0.17,3.4,19,1.58,0.21,3.9,4,0,0.15,3.3,B1,B1,B1,49,49,2020,2,20191101,20200430,40,9,3,2,0,2,0,0,0,0,0,0,0,0,0,2,5,6,3,4,0,0,0,0,0,0,0,0,0,0,3,6,7,3,2,0,0,0,0,0,0,0,0,0,1,1,5,8,2,0,0,0,0,0,0,0,0,2,1,3,4,7,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
2841,B1,S311129,1,63,160,53,A ,5.08,2.66,7,21,105,0,0,0.19,18,5.56,0.17,3,16,3.75,0.19,3.9,19,2.11,0.21,4.1,23,1.74,0.19,3.7,14,1.43,0.2,4.4,15,1.33,0.21,4.9,B1,B1,B1,49,49,2020,2,20191101,20200430,42,3,7,3,2,3,0,0,0,0,0,0,0,0,0,1,5,4,2,2,1,0,0,0,0,0,0,0,1,1,3,7,4,3,1,0,0,0,0,0,0,0,0,2,2,8,3,5,3,0,0,0,0,0,0,0,0,0,2,3,3,3,3,0,0,0,0,0,0,0,0,0,2,4,5,1,3,0,0,0,0,0,0,0,0
2844,B1,S320513,1,63,160,52,O ,4.39,2.33,10,11,90,0,0,0.17,14,7.86,0.15,2.1,16,2.5,0.17,4.4,15,2,0.17,3.8,12,1.67,0.16,3.3,19,0.53,0.16,3.6,14,0,0.22,4.8,B1,B1,B1,49,46,2020,2,20191101,20200430,42,9,2,1,0,1,1,0,0,0,0,0,0,0,0,0,4,4,4,1,3,0,0,0,0,0,0,0,0,1,2,2,2,3,5,0,0,0,0,0,0,0,0,0,2,2,3,4,1,0,0,0,0,0,0,0,0,0,1,6,3,4,5,0,0,0,0,0,0,0,0,0,0,0,4,2,8,0,0,0,0,0,0,0,0
2876,A1,S320810,1,62,163,52,AB,6.25,4.82,43,25,141,4,1,0.16,62,7.42,0.13,2.1,73,2.6,0.18,3.1,5,6,0.17,3.8,0,0,0,0,0,0,0,0,0,0,0,0,A1,A2,B1,52,53,2020,2,20191101,20200430,43,35,11,4,5,2,4,0,0,0,0,0,0,0,1,7,12,14,16,11,13,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2878,A2,S330621,1,62,163,57,B ,5.9,3.89,27,35,159,3,0,0.18,31,8.06,0.17,3.5,26,5.77,0.17,3.7,35,2.86,0.19,3.7,27,3.7,0.17,3.5,26,0.38,0.21,4,14,0.71,0.2,4.1,A2,A2,A2,50,52,2020,2,20191101,20200430,43,13,12,4,1,1,0,0,0,0,0,0,0,0,0,8,7,6,3,1,1,0,0,0,0,0,0,0,0,3,7,11,6,7,1,0,0,0,0,0,0,0,0,3,7,10,4,2,1,0,0,0,0,0,0,0,0,0,1,3,9,8,5,0,0,0,0,0,0,0,0,0,1,3,3,4,3,0,0,0,0,0,0,0,0
2903,B1,S340703,1,60,159,51,A ,5.08,2.69,8,13,78,0,0,0.17,13,6.15,0.2,3.8,20,2.5,0.16,3.6,17,1.18,0.16,3.3,11,0.91,0.18,4.4,14,3.57,0.16,3.1,4,0,0.2,5.3,B1,B1,B1,49,49,2020,2,20191101,20200430,44,7,1,2,1,1,1,0,0,0,0,0,0,0,0,1,4,6,5,2,2,0,0,0,0,0,0,0,0,0,2,7,3,2,2,0,0,0,0,0,0,0,1,0,1,3,2,2,2,0,0,0,0,0,1,0,0,0,5,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
2907,B1,S291201,1,65,165,56,B ,3.24,0.48,1,3,83,0,0,0.2,10,1,0.18,3.5,31,0,0.21,3.9,19,0.53,0.21,3.6,14,1.43,0.2,2.9,4,0,0.19,3.5,5,0,0.23,4.2,B1,B2,B1,43,43,2020,2,20191101,20200430,45,0,1,2,3,1,3,0,0,0,0,0,0,0,0,0,0,6,9,9,6,0,0,0,0,0,0,1,0,1,0,4,3,7,3,0,0,0,0,0,0,1,0,0,2,2,1,6,3,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0
2912,B1,S301211,1,64,164,59,B ,4.48,2.95,9,17,88,0,0,0.2,14,3.57,0.21,4.5,15,5.33,0.18,3.5,11,2.73,0.16,3.5,17,2.35,0.18,2.6,14,3.57,0.17,3.5,16,0.63,0.25,4.9,B1,B1,B1,47,45,2020,2,20191101,20200430,45,4,1,2,3,1,3,0,0,0,0,0,0,0,0,2,6,1,1,1,3,1,0,0,0,0,0,0,0,0,3,3,0,3,2,0,0,0,0,0,0,0,0,0,4,2,2,3,6,0,0,0,0,0,0,0,0,2,3,2,3,3,1,0,0,0,0,0,0,0,0,1,0,1,4,3,7,0,0,0,0,0,0,0,0
